Division Av & Hooper St	(1, 0)
Union Ave & Jackson St	(1, 0)
Bushwick Ave & Powers St	(0, 1)
Queens Plaza North & Crescent St	(4, 0)
Myrtle Ave & Lewis Ave	(2, 0)
E 81 St & 2 Ave	(1, 4)
Commerce St & Van Brunt St	(0, 1)
Crescent St & Broadway	(0, 1)
Pike St & E Broadway	(2, 1)
Union Ave & N 12 St	(2, 1)
St James Pl & Oliver St	(3, 2)
Monroe St & Bedford Ave	(0, 1)
2 Ave & 36 St - Citi Bike HQ at Industry City	(0, 1)
W 84 St & Columbus Ave	(0, 1)
Graham Ave & Withers St	(0, 1)
Columbus Ave & W 103 St	(0, 1)
Vernon Blvd & 31 Ave	(0, 1)
Greene Ave & Nostrand Ave	(0, 1)
W 116 St & Broadway	(0, 1)
Leonard St & Nassau Ave	(0, 3)
Cambridge Pl & Gates Ave	(2, 1)
Putnam Ave & Throop Ave	(0, 1)
Leonard St & Boerum St	(0, 2)
Columbia Heights & Cranberry St	(1, 0)
Central Park W & W 96 St	(1, 0)
Metropolitan Ave & Meeker Ave	(2, 0)
Sigourney St & Columbia St	(1, 0)
W 92 St & Broadway	(0, 2)
Cathedral Pkwy & Broadway	(1, 1)
5 Ave & E 93 St	(2, 0)
Washington Ave & Greene Ave	(1, 0)
West End Ave & W 94 St	(0, 2)
9 St & 44 Rd	(1, 0)
W 50 St & 9 Ave	(0, 2)
Baltic St & 5 Ave	(1, 0)
E 98 St & Park Ave	(2, 0)
Macon St & Nostrand Ave	(0, 1)
Central Park West & W 100 St	(0, 1)
Frederick Douglass Blvd & W 112 St	(0, 1)
31 St & 23 Ave	(0, 1)
Washington Park	(1, 0)
1 Ave & E 110 St	(0, 1)
4 Ave & 9 St	(0, 1)
Clinton St & 4 Place	(1, 1)
Amsterdam Ave & W 125 St	(0, 1)
Broadway & Moylan Pl	(0, 1)
Driggs Ave & N 9 St	(1, 1)
Dean St & 4 Ave	(3, 0)
44 Dr & 21 St	(0, 1)
Park Pl & Franklin Ave	(1, 0)
East End Ave & E 86 St	(1, 0)
E 81 St & Park Ave	(0, 1)
N 15 St & Wythe Ave	(1, 0)
Willoughby Ave & Hall St	(0, 1)
21 St & 43 Ave	(1, 0)
E 103 St & Lexington Ave	(0, 1)
Leonard St & Maujer St	(0, 1)
7 St & 3 Ave	(0, 1)
Central Ave & Flushing Ave	(0, 1)
Carlton Ave & Park Ave	(0, 1)
Eckford St & Engert Ave	(1, 0)
W 87 St & Amsterdam Ave	(1, 0)
Riverside Dr & W 78 St	(1, 0)
W 90 St & Amsterdam Ave	(0, 1)
10 St & 5 Ave	(0, 1)
