W 110 St & Amsterdam Ave	(4, 0)
3 St & 3 Ave	(3, 0)
Carlton Ave & Dean St	(2, 0)
Marcy Ave & Lafayette Ave	(0, 1)
Scholes St & Manhattan Ave	(0, 1)
W 92 St & Broadway	(0, 1)
E 103 St & Lexington Ave	(1, 0)
Broadway & W 38 St	(5, 0)
Broadway & W 51 St	(2, 3)
3 St & Hoyt St	(0, 1)
Carroll St & Smith St	(1, 2)
3 Ave & E 72 St	(2, 1)
Broadway & Whipple St	(0, 1)
31 St & Broadway	(1, 2)
W 100 St & Manhattan Ave	(0, 1)
6 Ave & 9 St	(0, 3)
E 97 St & 3 Ave	(1, 0)
Columbia Heights & Cranberry St	(1, 0)
Lenox Ave & W 126 St	(0, 2)
10 St & 5 Ave	(0, 1)
19 St & 24 Ave	(3, 0)
Prospect Pl & 6 Ave	(1, 1)
Coffey St & Conover St	(0, 3)
Stockholm St & Wilson Ave	(1, 1)
Carroll St & Washington Ave	(1, 0)
E 114 St & 1 Ave	(0, 1)
Van Brunt St & Van Dyke St	(1, 2)
Broadway & W 37 St	(3, 1)
W 87 St & Amsterdam Ave	(0, 2)
Vernon Blvd & 47 Rd	(1, 0)
E 106 St & Madison Ave	(0, 1)
47 Ave & Skillman Ave	(2, 0)
3 Ave & E 71 St	(0, 2)
3 Ave & Carroll St	(1, 1)
31 St & Newtown Ave	(0, 1)
Banker St & Meserole Ave	(3, 1)
Henry St & Atlantic Ave	(0, 1)
Pacific St & Nevins St	(0, 1)
Henry St & Degraw St	(0, 2)
Hart St & Wyckoff Ave	(1, 1)
S 4 St & Rodney St	(3, 0)
Ditmars Blvd & 19 St	(0, 2)
E 115 St & Lexington Ave	(0, 1)
Central Park West & W 102 St	(1, 0)
W 45 St & 6 Ave	(5, 1)
E 102 St & Park Ave	(0, 1)
24 Ave & 26 St	(0, 1)
Henry St & Middagh St	(0, 1)
E 72 St & Park Ave	(2, 0)
Lexington Ave & E 127 St	(1, 0)
Willoughby Ave & Wyckoff Ave	(1, 0)
Central Park North & Adam Clayton Powell Blvd	(1, 0)
Central Park W & W 96 St	(1, 0)
