Schermerhorn St & Bond St	(5, 0)
Carroll St & 5 Ave	(1, 0)
Central Ave & Starr Street	(1, 1)
Van Brunt St & Wolcott St	(0, 3)
Madison Ave & E 82 St	(2, 3)
E 82 St & East End Ave	(1, 3)
W 35 St & Dyer Ave	(2, 3)
Jackson St & Leonard St	(1, 0)
Wyckoff St & 3 Ave	(1, 3)
3 St & Hoyt St	(2, 1)
3 Ave & 14 St	(1, 0)
Carlton Ave & Flushing Ave	(1, 1)
10 St & 5 Ave	(1, 0)
Boerum St & Broadway	(1, 4)
Division Ave & Marcy Ave	(0, 1)
Carroll St & Washington Ave	(2, 0)
3 St & 3 Ave	(1, 0)
E 43 St & 2 Ave	(5, 0)
E 68 St & 3 Ave	(1, 1)
44 Dr & Jackson Ave	(1, 0)
Emerson Pl & Myrtle Ave	(2, 1)
Riverside Dr & W 104 St	(0, 1)
Lenox Ave & W 115 St	(1, 0)
S 4 St & Rodney St	(1, 1)
39 St & 2 Ave - Citi Bike HQ at Industry City	(0, 1)
Columbia St & W 9 St	(0, 1)
E 81 St & Park Ave	(2, 1)
5 St & Market St	(1, 0)
Berkeley Pl & 7 Ave	(2, 1)
Clinton St & Joralemon St	(0, 2)
Plaza St West & Flatbush Ave	(2, 1)
Clark St & Henry St	(2, 1)
Rogers Ave & Sterling St	(1, 2)
Pike St & E Broadway	(3, 3)
35 Ave & 37 St	(0, 1)
49 Ave & 21 St	(0, 1)
Monroe St & Classon Ave	(2, 1)
Huron St & Franklin St	(3, 6)
Madison Ave & E 99 St	(1, 0)
Central Park West & W 76 St	(0, 1)
Steinway St & 23 Ave	(1, 0)
Bialystoker Pl & Delancey St	(2, 3)
George St & Wilson Ave	(0, 1)
N 15 St & Wythe Ave	(1, 0)
E 6 St & Avenue D	(3, 2)
Laight St & Hudson St	(5, 2)
Central Park North & Adam Clayton Powell Blvd	(0, 1)
4 Ave & 9 St	(1, 0)
Lexington Ave & E 36 St	(5, 2)
Pleasant Ave & E 116 St	(3, 3)
Nostrand Ave & Myrtle Ave	(1, 0)
Market St & Cherry St	(0, 2)
Cadman Plaza West & Montague St	(1, 1)
Smith St & 9 St	(0, 2)
31 St & Thomson Ave	(2, 0)
Pike St & Monroe St	(2, 0)
Sterling Pl & Bedford Ave	(0, 2)
E 93 St & 2 Ave	(1, 1)
Washington Park	(1, 1)
W 63 St & Broadway	(5, 1)
Dean St & Franklin Ave	(0, 1)
Willoughby Ave & Wyckoff Ave	(1, 1)
E 58 St &  1 Ave (NW Corner)	(3, 0)
Vernon Blvd & 47 Rd	(1, 0)
Cambridge Pl & Gates Ave	(1, 2)
47 Ave & Skillman Ave	(0, 1)
DeKalb Ave & Vanderbilt Ave	(1, 0)
E 25 St & 1 Ave	(1, 7)
West Drive & Prospect Park West	(2, 2)
W 113 St & Broadway	(0, 1)
2 Ave & 36 St - Citi Bike HQ at Industry City	(1, 2)
Graham Ave & Conselyea St	(1, 3)
W 116 St & Amsterdam Ave	(0, 1)
31 Ave & 30 St	(0, 1)
W 90 St & Amsterdam Ave	(0, 2)
