7 Ave & Central Park South	(4, 4)
Bergen St & Smith St	(7, 5)
E 16 St & Irving Pl	(10, 7)
Spruce St & Nassau St	(12, 9)
William St & Pine St	(4, 2)
Franklin St & Dupont St	(1, 2)
E 98 St & Park Ave	(0, 2)
Riverside Dr & W 104 St	(1, 3)
DeKalb Ave & Franklin Ave	(1, 3)
S 3 St & Bedford Ave	(4, 9)
Riverside Dr & W 78 St	(4, 6)
5 St & 6 Ave	(2, 0)
Driggs Ave & Lorimer St	(2, 3)
Fulton St & William St	(4, 8)
W 37 St & 10 Ave	(4, 3)
Central Park S & 6 Ave	(4, 9)
Grand St & Elizabeth St	(12, 14)
Cliff St & Fulton St	(3, 6)
Washington Ave & Park Ave	(0, 2)
44 Dr & Jackson Ave	(1, 1)
28 Ave & 35 St	(1, 1)
W 22 St & 10 Ave	(6, 18)
Graham Ave & Herbert St	(1, 2)
McKibbin St & Bogart St	(1, 1)
Eckford St & Engert Ave	(1, 1)
Eastern Pkwy & Franklin Ave	(3, 4)
E 47 St & Park Ave	(5, 5)
Union Ave & Jackson St	(2, 2)
Perry St & Bleecker St	(6, 5)
Lexington Ave & Classon Ave	(2, 2)
Riverside Blvd & W 67 St	(5, 9)
Liberty St & Broadway	(7, 9)
Cadman Plaza E & Red Cross Pl	(4, 5)
Graham Ave & Grand St	(2, 1)
Banker St & Meserole Ave	(3, 1)
E 2 St & Avenue B	(5, 8)
Schermerhorn St & Bond St	(2, 4)
Adam Clayton Powell Blvd & W 115 St	(2, 1)
Broadway & W 53 St	(0, 3)
6 Ave & W 33 St	(8, 8)
Bank St & Washington St	(12, 12)
Mercer St & Spring St	(16, 8)
E 32 St & Park Ave	(1, 2)
Nassau Ave & Russell St	(2, 5)
Catherine St & Monroe St	(4, 5)
Atlantic Ave & Fort Greene Pl	(2, 7)
Clinton St & Grand St	(14, 8)
India St & Manhattan Ave	(4, 5)
Water - Whitehall Plaza	(1, 3)
Franklin St & W Broadway	(6, 6)
Amsterdam Ave & W 66 St	(5, 4)
E 16 St & 5 Ave	(11, 10)
E 52 St & 2 Ave	(4, 5)
Roebling St & N 4 St	(1, 4)
Bergen St & Flatbush Ave	(2, 3)
Carroll St & 6 Ave	(2, 1)
Willoughby Ave & Hall St	(4, 2)
Pleasant Ave & E 116 St	(0, 1)
6 St & 7 Ave	(1, 2)
1 Ave & E 110 St	(0, 1)
E 84 St & 1 Ave	(2, 4)
Hope St & Union Ave	(2, 3)
Broadway & W 38 St	(2, 2)
Park Pl & Church St	(3, 1)
W 120 St & Claremont Ave	(0, 2)
E 58 St & 1 Ave (NE Corner)	(0, 1)
E 10 St & 5 Ave	(4, 5)
37 St & 24 Ave	(1, 0)
Central Park West & W 72 St	(3, 2)
E 72 St & Park Ave	(3, 4)
Harrison St & Hudson St	(0, 5)
Columbia St & Kane St	(0, 1)
E 68 St & Madison Ave	(1, 2)
Henry St & Atlantic Ave	(1, 2)
W 44 St & 5 Ave	(2, 4)
Carroll St & 5 Ave	(3, 3)
E 53 St & Madison Ave	(5, 1)
Grand Army Plaza & Central Park S	(4, 8)
10 St & 5 Ave	(1, 1)
E 55 St & Lexington Ave	(2, 4)
5 Ave & 3 St	(1, 1)
State St & Smith St	(1, 1)
6 Ave & 12 St	(0, 1)
E 47 St & 1 Ave	(2, 3)
Prospect Park West & 8 St	(0, 1)
Halsey St & Tompkins Ave	(1, 0)
Nassau St & Navy St	(2, 1)
Baltic St & 5 Ave	(0, 2)
Cambridge Pl & Gates Ave	(2, 1)
Henry St & Degraw St	(1, 1)
Barclay St & Church St	(3, 5)
Broadway & W 32 St	(3, 3)
E 81 St & 2 Ave	(5, 4)
Carlton Ave & Dean St	(2, 2)
44 Dr & 21 St	(2, 0)
Laight St & Hudson St	(0, 1)
Greenwich Ave & Charles St	(7, 6)
Leonard St & Nassau Ave	(3, 1)
W 43 St & 6 Ave	(3, 0)
Bedford Ave & Nassau Ave	(1, 7)
Broadway & W 49 St	(8, 2)
7 St & 5 Ave	(1, 2)
Frederick Douglass Blvd & W 129 St	(1, 0)
5 Ave & E 78 St	(5, 7)
1 Ave & E 94 St	(0, 2)
Adam Clayton Powell Blvd & W 123 St	(1, 0)
Warren St & Court St	(0, 3)
W 88 St & West End Ave	(1, 3)
McKibbin St & Manhattan Ave	(1, 0)
Leonard St & Church St	(1, 2)
Bushwick Ave & Powers St	(1, 4)
E 67 St & Park Ave	(3, 1)
45 Rd & 11 St	(2, 3)
Richardson St & N Henry St	(0, 1)
E 89 St & 3 Ave	(1, 3)
S Portland Ave & Hanson Pl	(0, 2)
Bus Slip & State St	(2, 9)
Grand Ave & Bergen St	(1, 3)
Market St & Cherry St	(2, 3)
W 45 St & 8 Ave	(4, 4)
Emerson Pl & Myrtle Ave	(1, 1)
E 88 St & Park Ave	(2, 1)
Jay St & Tech Pl	(4, 1)
