Lenox Ave & W 115 St	(0, 1)
Greene Ave & Throop Ave	(0, 2)
Park Ave & E 124 St	(1, 0)
Union Ave & Wallabout St	(0, 1)
W 87 St & Amsterdam Ave	(1, 1)
Kingston Ave & Herkimer St	(1, 0)
Central Ave & Starr Street	(1, 0)
E 65 St & 2 Ave	(1, 0)
Columbia St & Lorraine St	(1, 0)
Franklin Ave & St Marks Ave	(0, 1)
Macon St & Nostrand Ave	(3, 0)
Broadway & W 49 St	(3, 1)
Vernon Blvd & 47 Rd	(0, 1)
Columbus Ave & W 95 St	(1, 1)
Lexington Ave & E 26 St	(1, 1)
Pleasant Ave & E 120 St	(2, 0)
Nassau Ave & Russell St	(0, 2)
Cumberland St & Lafayette Ave	(0, 1)
Devoe St & Lorimer St	(1, 2)
6 Ave & 9 St	(0, 3)
Driggs Ave & N 9 St	(0, 1)
Monroe St & Classon Ave	(0, 1)
Carroll St & Smith St	(1, 0)
Sullivan Pl & Bedford Ave	(0, 1)
W 11 St & 6 Ave	(3, 4)
Lewis Ave & Madison St	(0, 1)
Fulton St & Clermont Ave	(0, 1)
Riverside Dr & W 104 St	(0, 2)
2 Ave & E 96 St	(1, 2)
Greene Av & Myrtle Av	(0, 2)
McKibbin St & Bogart St	(3, 2)
5 St & Market St	(1, 0)
11 Ave & W 41 St	(0, 2)
Washington Ave & Park Ave	(0, 1)
Lewis Ave & Decatur St	(1, 0)
Monroe St & Bedford Ave	(0, 2)
Berkeley Pl & 7 Ave	(1, 1)
14 St & 5 Ave	(1, 1)
5 St & 6 Ave	(0, 1)
1 Ave & E 110 St	(0, 2)
Marcus Garvey Blvd & Macon St	(0, 1)
E 78 St & 2 Ave	(1, 1)
E 110 St & Madison Ave	(0, 1)
Scholes St & Manhattan Ave	(0, 1)
Cambridge Pl & Gates Ave	(1, 1)
E 109 St & 3 Ave	(0, 1)
Rogers Ave & Sterling St	(0, 1)
Franklin Ave & Myrtle Ave	(0, 1)
Garfield Pl & 8 Ave	(0, 1)
E 60 St & York Ave	(1, 0)
