26631	(5891, 8)
30524	(719, 2)
31854	(1139, 2)
32171	(1212, 2)
27800	(542, 2)
16971	(5980, 6)
32564	(198, 1)
32353	(1921, 1)
25028	(3119, 3)
18100	(157, 1)
35441	(2842, 4)
24892	(1824, 3)
28865	(2477, 1)
18295	(254, 1)
32610	(669, 2)
33355	(4386, 4)
32713	(357, 1)
31067	(492, 2)
25260	(7662, 3)
29026	(1984, 2)
34395	(2004, 4)
34917	(6611, 8)
25513	(1428, 2)
30605	(3271, 4)
27649	(336, 1)
33871	(2622, 1)
32456	(1764, 2)
35123	(1805, 2)
31246	(2033, 4)
15770	(1615, 1)
27417	(2022, 4)
18704	(1417, 2)
27535	(1605, 2)
25884	(1546, 2)
30243	(1385, 2)
30062	(934, 2)
33600	(1083, 2)
14677	(3182, 4)
32514	(1063, 2)
32375	(1245, 3)
28233	(1293, 2)
30988	(1127, 2)
17569	(2198, 2)
33750	(1080, 1)
30397	(2086, 2)
35231	(1041, 2)
19295	(638, 1)
32805	(487, 2)
19442	(757, 2)
19707	(373, 1)
18849	(2240, 2)
33838	(1308, 2)
25633	(1337, 1)
31517	(1802, 3)
35355	(1841, 2)
18957	(977, 3)
25510	(2880, 3)
18799	(2153, 2)
32774	(582, 1)
14835	(741, 2)
17761	(471, 1)
34959	(7774, 10)
17608	(519, 2)
33234	(5472, 5)
30047	(1124, 2)
29911	(1568, 3)
33743	(1692, 5)
27485	(2489, 4)
17611	(1387, 2)
32888	(809, 1)
26566	(2988, 2)
30000	(476, 2)
16567	(980, 1)
21771	(1325, 1)
21677	(2936, 2)
19155	(1883, 2)
30766	(6512, 10)
25290	(1035, 2)
19719	(919, 2)
28866	(2418, 2)
26830	(3332, 3)
31034	(1149, 1)
28686	(1472, 2)
30758	(4546, 4)
28394	(996, 1)
15602	(314, 1)
18054	(306, 1)
27109	(1369, 2)
31275	(2189, 2)
35274	(2094, 2)
31339	(1946, 4)
26843	(850, 2)
32405	(568, 2)
31440	(801, 2)
32233	(568, 1)
31146	(1419, 2)
30891	(1582, 1)
30986	(4588, 2)
16950	(3097, 5)
25553	(1759, 2)
31011	(755, 2)
14555	(1793, 2)
28779	(3304, 7)
16575	(1031, 1)
25958	(3835, 2)
32147	(1606, 2)
26081	(1392, 2)
24845	(2765, 2)
31257	(7752, 8)
35595	(1848, 4)
27439	(1721, 2)
34303	(1752, 2)
29360	(1352, 3)
18929	(1081, 2)
32234	(592, 2)
15210	(475, 1)
14833	(514, 1)
21035	(755, 2)
16050	(2168, 2)
18969	(951, 1)
29741	(686, 1)
25670	(2454, 2)
15226	(1593, 2)
30967	(1679, 2)
28030	(6909, 2)
31251	(1129, 1)
30522	(587, 2)
28094	(3451, 3)
18659	(1445, 3)
29190	(811, 1)
20934	(231, 1)
30215	(448, 1)
17801	(2833, 4)
20825	(325, 1)
31136	(1853, 3)
26995	(2662, 3)
27107	(960, 1)
17136	(1158, 3)
17135	(1530, 2)
35202	(2856, 2)
27965	(2454, 6)
31788	(1201, 2)
14550	(752, 2)
18960	(5061, 4)
35094	(7722, 7)
35389	(734, 2)
34025	(4086, 3)
21286	(2036, 2)
18705	(232, 1)
33135	(1008, 2)
27004	(1663, 2)
33116	(1026, 2)
