Broadway & W 122 St	(1, 1)
Clermont Ave & Lafayette Ave	(1, 0)
12 St & 4 Ave	(2, 1)
Boerum St & Broadway	(0, 1)
E 118 St & 1 Ave	(0, 1)
Crescent St & 35 Ave	(0, 1)
Court St & Nelson St	(1, 1)
Throop Ave & Myrtle Ave	(2, 0)
St Johns Pl & Washington Ave	(3, 0)
43 St & Broadway	(0, 1)
Pioneer St & Richards St	(0, 1)
Van Brunt St & Wolcott St	(1, 1)
Graham Ave & Herbert St	(1, 1)
Myrtle Ave & St Edwards St	(0, 1)
5 St & Market St	(1, 0)
Newton Rd & 44 St	(1, 1)
E 118 St & Madison Ave	(0, 1)
1 Pl & Clinton St	(0, 1)
India St & West St	(2, 1)
21 St & Queens Plaza North	(1, 0)
Concord St & Bridge St	(0, 2)
Court St & State St	(1, 0)
Cadman Plaza West & Montague St	(2, 1)
Park Ave & St Edwards St	(1, 0)
Schermerhorn St & Court St	(0, 1)
Lewis Ave & Decatur St	(0, 1)
Bedford Ave & S 9 St	(1, 2)
Pacific St & Classon Ave	(0, 1)
Park Ave & E 124 St	(0, 1)
Lafayette Ave & Classon Ave	(2, 1)
Willoughby Ave & Tompkins Ave	(0, 1)
Franklin Ave & St Marks Ave	(0, 1)
Richards St & Delavan St	(0, 1)
E 106 St & 1 Ave	(0, 1)
Central Park West & W 102 St	(0, 1)
Van Brunt St & Van Dyke St	(1, 2)
Lenox Ave & W 115 St	(1, 0)
W 113 St & Broadway	(1, 0)
3 St & 3 Ave	(1, 2)
4 Ave & 9 St	(1, 0)
7 St & 3 Ave	(1, 0)
Adam Clayton Powell Blvd & W 123 St	(0, 1)
Leonard St & Maujer St	(0, 3)
Division Ave & Marcy Ave	(1, 1)
S 4 St & Rodney St	(1, 2)
Carroll St & 5 Ave	(1, 0)
Dean St & Hoyt St	(1, 0)
Washington Park	(2, 0)
W 106 St & Amsterdam Ave	(1, 0)
Carlton Ave & Dean St	(1, 1)
Douglass St & 4 Ave	(1, 1)
Broadway & Moylan Pl	(0, 3)
Willoughby Ave & Walworth St	(1, 0)
Rogers Ave & Sterling St	(0, 1)
Nassau St & Navy St	(0, 1)
Washington Ave & Greene Ave	(0, 1)
Grand Army Plaza & Plaza St West	(1, 0)
Riverside Dr & W 104 St	(0, 1)
6 St & 7 Ave	(1, 0)
Scholes St & Manhattan Ave	(0, 1)
Frost St & Meeker Ave	(1, 1)
Montrose Ave & Bushwick Ave	(1, 1)
11 St & 43 Ave	(1, 0)
Kosciuszko St & Nostrand Ave	(0, 1)
Front St & Gold St	(0, 1)
Hancock St & Bedford Ave	(1, 0)
Crown St & Bedford Ave	(1, 0)
Prospect Park West & 8 St	(0, 1)
44 Dr & Jackson Ave	(1, 0)
Lexington Ave & E 111 St	(0, 1)
1 Ave & E 110 St	(0, 1)
Lenox Ave & W 111 St	(0, 1)
28 Ave & 35 St	(0, 1)
Amsterdam Ave & W 125 St	(0, 1)
