Washington Park	(1, 3) 
Canal St & Rutgers St	(8, 13) 
Avenue D & E 3 St	(8, 4) 
E 55 St & Lexington Ave	(6, 4) 
Allen St & Hester St	(7, 7) 
MacDougal St & Prince St	(20, 16) 
Smith St & 3 St	(1, 2) 
3 Ave & 14 St	(0, 1) 
West Drive & Prospect Park West	(3, 3) 
S 5 Pl & S 5 St	(11, 14) 
E 60 St & York Ave	(2, 3) 
E 20 St & 2 Ave	(12, 10) 
7 St & 5 Ave	(2, 0) 
E 53 St & 3 Ave	(6, 8) 
Union Ave & Wallabout St	(0, 1) 
Central Park West & W 76 St	(1, 2) 
Mott St & Prince St	(8, 9) 
E 58 St & 3 Ave	(6, 8) 
St Marks Pl & 2 Ave	(11, 6) 
Park Ave & E 124 St	(1, 1) 
E 91 St & Park Ave	(4, 5) 
E 81 St & 2 Ave	(1, 8) 
3 Ave & E 71 St	(1, 0) 
Madison St & Clinton St	(6, 6) 
Atlantic Ave & Furman St	(1, 2) 
Old Fulton St	(4, 21) 
Broadway & Battery Pl	(10, 12) 
1 Ave & E 110 St	(0, 2) 
W 13 St & 5 Ave	(5, 13) 
West End Ave & W 94 St	(3, 2) 
W 54 St & 9 Ave	(8, 3) 
W 76 St & Columbus Ave	(5, 2) 
Front St & Gold St	(1, 2) 
W 116 St & Broadway	(1, 0) 
Underhill Ave & Lincoln Pl	(2, 3) 
Rogers Ave & Sterling St	(2, 1) 
E 10 St & 5 Ave	(13, 13) 
E 85 St & York Ave	(0, 1) 
W 113 St & Broadway	(1, 2) 
E 77 St & 3 Ave	(11, 14) 
31 Ave & 34 St	(1, 0) 
Riverside Blvd & W 67 St	(4, 5) 
Carroll St & Bond St	(1, 2) 
E 75 St & 3 Ave	(1, 2) 
5 Ave & E 88 St	(1, 0) 
E 91 St & 2 Ave	(2, 8) 
Bergen St & Flatbush Ave	(3, 4) 
E 33 St & 1 Ave	(10, 16) 
E 88 St & 1 Ave	(3, 5) 
Congress St & Clinton St	(3, 2) 
Amsterdam Ave & W 82 St	(4, 3) 
St Johns Pl & Washington Ave	(4, 0) 
W 49 St & 8 Ave	(2, 6) 
E 106 St & 1 Ave	(0, 2) 
Graham Ave & Herbert St	(1, 1) 
Pitt St & Stanton St	(2, 2) 
3 Ave & E 100 St	(0, 1) 
Sigourney St & Columbia St	(1, 0) 
DeKalb Ave & Vanderbilt Ave	(2, 1) 
