W 90 St & Amsterdam Ave	(1, 3)
Lexington Ave & E 111 St	(0, 2)
Brooklyn Bridge Park - Pier 2	(0, 2)
Madison Ave & E 99 St	(2, 2)
Hanson Pl & Ashland Pl	(6, 5)
Nostrand Ave & Myrtle Ave	(0, 1)
Bedford Ave & S 9 St	(2, 3)
Atlantic Ave & Furman St	(0, 1)
Stanton St & Mangin St	(3, 1)
Cedar St & Myrtle Ave	(1, 1)
W 95 St & Broadway	(1, 1)
White St & Moore St	(1, 0)
Bushwick Ave & Powers St	(1, 0)
Carroll St & Bond St	(2, 1)
Bond St & Bergen St	(0, 2)
Milton St & Franklin St	(6, 5)
Lewis Ave & Madison St	(0, 2)
W 74 St & Columbus Ave	(2, 2)
5 St & Market St	(0, 1)
E 82 St & East End Ave	(3, 3)
Adam Clayton Powell Blvd & W 123 St	(1, 0)
E 67 St & Park Ave	(2, 1)
14 St & 7 Ave	(3, 5)
Tompkins Ave & Hopkins St	(1, 1)
47 Ave & 31 St	(2, 0)
14 St & 5 Ave	(2, 1)
Market St & Cherry St	(1, 2)
W 88 St & West End Ave	(2, 2)
Prospect Park West & 8 St	(4, 2)
Fulton St & Clermont Ave	(1, 0)
6 Ave & 12 St	(2, 1)
5 Ave & E 73 St	(3, 7)
Monroe St & Tompkins Ave	(0, 2)
Broadway & W 122 St	(0, 1)
E 76 St & Park Ave	(1, 3)
Stanton St & Norfolk St	(1, 9)
S 4 St & Rodney St	(3, 2)
Cherry St	(0, 2)
W 76 St & Columbus Ave	(2, 0)
Jackson St & Leonard St	(0, 1)
W 116 St & Broadway	(1, 0)
Avenue D & E 12 St	(2, 0)
W 100 St & Broadway	(1, 1)
Old Slip & Front St	(7, 0)
Throop Ave & Myrtle Ave	(1, 0)
49 Ave & 21 St	(1, 0)
Nassau Ave & Russell St	(1, 4)
DeKalb Ave & Franklin Ave	(2, 0)
10 St & 5 Ave	(1, 1)
Driggs Ave & N 9 St	(1, 1)
Grand St & Havemeyer St	(2, 8)
Broadway & Moylan Pl	(0, 2)
7 St & 3 Ave	(0, 1)
Columbia Heights & Cranberry St	(0, 1)
21 St & 43 Ave	(2, 0)
Old Fulton St	(2, 9)
Banker St & Meserole Ave	(1, 2)
Central Ave & Starr Street	(2, 0)
W 110 St & Amsterdam Ave	(1, 1)
Court St & Nelson St	(2, 1)
E 106 St & Lexington Ave	(0, 2)
Pacific St & Nevins St	(0, 1)
Union St & Nevins St	(1, 2)
Pacific St & Classon Ave	(0, 1)
Carroll St & Franklin Ave	(1, 1)
Putnam Ave & Nostrand Ave	(0, 1)
3 Ave & 14 St	(0, 1)
Central Park W & W 96 St	(2, 0)
1 Ave & E 94 St	(2, 4)
E 118 St & 1 Ave	(0, 1)
Clermont Ave & Lafayette Ave	(1, 1)
Hancock St & Bedford Ave	(1, 0)
Union Ave & Jackson St	(1, 2)
Devoe St & Lorimer St	(1, 4)
21 St & Queens Plaza North	(1, 0)
Frost St & Meeker Ave	(0, 1)
Lexington Ave & E 120 St	(0, 2)
Pleasant Ave & E 120 St	(0, 1)
St Nicholas Ave & Manhattan Ave	(0, 1)
Pierrepont St & Monroe Pl	(0, 2)
Clinton St & 4 Place	(0, 2)
Jackson Ave & 46 Rd	(0, 1)
E 97 St & Madison Ave	(1, 3)
W 104 St & Amsterdam Ave	(0, 1)
Columbus Ave & W 103 St	(0, 1)
Cathedral Pkwy & Broadway	(0, 2)
Columbus Ave & W 95 St	(1, 1)
31 St & Thomson Ave	(2, 0)
William St & Pine St	(1, 1)
Columbia St & Lorraine St	(0, 2)
28 St & 36 Ave	(1, 0)
Catherine St & Monroe St	(0, 4)
1 Ave & E 110 St	(0, 2)
Powers St & Olive St	(2, 0)
48 Ave & 5 St	(0, 4)
Van Brunt St & Van Dyke St	(1, 0)
Stockholm St & Wilson Ave	(1, 0)
Garfield Pl & 8 Ave	(0, 2)
Riverside Dr & W 91 St	(1, 4)
24 St & 41 Ave	(1, 0)
Lexington Ave & E 127 St	(1, 0)
Monroe St & Bedford Ave	(1, 0)
Carlton Ave & Dean St	(0, 1)
Willoughby Ave & Wyckoff Ave	(2, 0)
Crescent St & 34 Ave	(0, 1)
Lexington Ave & Classon Ave	(0, 3)
Roebling St & N 4 St	(0, 2)
W 113 St & Broadway	(1, 0)
Degraw St & Smith St	(0, 2)
Carroll St & 5 Ave	(2, 1)
3 St & Hoyt St	(0, 2)
Pleasant Ave & E 116 St	(2, 2)
Concord St & Bridge St	(0, 1)
President St & Henry St	(2, 1)
Amsterdam Ave & W 125 St	(0, 1)
27 Ave & 4 St	(1, 0)
Pitt St & Stanton St	(0, 1)
E 106 St & 1 Ave	(0, 1)
Greene Ave & Throop Ave	(0, 1)
E 110 St & Madison Ave	(0, 2)
Leonard St & Maujer St	(2, 1)
Kingston Ave & Herkimer St	(1, 0)
